Year,Household Size,Income 
2018,1,12140
2018,2,16460
2018,3,20780
2018,4,25100
2018,5,29420
2018,6,33740
2018,7,38060
2018,8,42380
2019,1,12490
2019,2,16910
2019,3,21330
2019,4,25750
2019,5,30170
2019,6,34590
2019,7,39010
2019,8,43430
2020,1,12760
2020,2,17240
2020,3,21720
2020,4,26200
2020,5,30680
2020,6,35160
2020,7,39640
2020,8,44120
2021,1,12880
2021,2,17420
2021,3,21960
2021,4,26500
2021,5,31040
2021,6,35580
2021,7,40120
2021,8,44660
2022,1,13590
2022,2,18310
2022,3,23030
2022,4,27750
2022,5,32470
2022,6,37190
2022,7,41910
2022,8,46630
2023,1,14580
2023,2,19720
2023,3,24860
2023,4,30000
2023,5,35140
2023,6,40280
2023,7,45420
2023,8,50560
