Year,Sex,Age_Group,Education_Level,State,Number_Individuals
2018,Male,18-24,Less than 9th grade,Alabama,3553
2018,Male,18-24,"9th to 12th grade, no diploma",Alabama,30855
2018,Male,18-24,High school graduate (includes equivalency),Alabama,92087
2018,Male,18-24,"Some college, no degree",Alabama,78026
2018,Male,18-24,Associate's degree,Alabama,14302
2018,Male,18-24,Bachelor's degree,Alabama,13821
2018,Male,18-24,Graduate or professional degree,Alabama,1228
2018,Male,25-34,Less than 9th grade,Alabama,7292
2018,Male,25-34,"9th to 12th grade, no diploma",Alabama,32551
2018,Male,25-34,High school graduate (includes equivalency),Alabama,96800
2018,Male,25-34,"Some college, no degree",Alabama,75533
2018,Male,25-34,Associate's degree,Alabama,24710
2018,Male,25-34,Bachelor's degree,Alabama,55362
2018,Male,25-34,Graduate or professional degree,Alabama,19017
2018,Male,35-44,Less than 9th grade,Alabama,9068
2018,Male,35-44,"9th to 12th grade, no diploma",Alabama,31792
2018,Male,35-44,High school graduate (includes equivalency),Alabama,94557
2018,Male,35-44,"Some college, no degree",Alabama,55398
2018,Male,35-44,Associate's degree,Alabama,23176
2018,Male,35-44,Bachelor's degree,Alabama,48020
2018,Male,35-44,Graduate or professional degree,Alabama,24443
2018,Male,45-64,Less than 9th grade,Alabama,21451
2018,Male,45-64,"9th to 12th grade, no diploma",Alabama,67828
2018,Male,45-64,High school graduate (includes equivalency),Alabama,207005
2018,Male,45-64,"Some college, no degree",Alabama,125388
2018,Male,45-64,Associate's degree,Alabama,44185
2018,Male,45-64,Bachelor's degree,Alabama,91296
2018,Male,45-64,Graduate or professional degree,Alabama,55522
2018,Male,65 and older,Less than 9th grade,Alabama,25479
2018,Male,65 and older,"9th to 12th grade, no diploma",Alabama,35535
2018,Male,65 and older,High school graduate (includes equivalency),Alabama,113254
2018,Male,65 and older,"Some college, no degree",Alabama,71203
2018,Male,65 and older,Associate's degree,Alabama,18463
2018,Male,65 and older,Bachelor's degree,Alabama,55643
2018,Male,65 and older,Graduate or professional degree,Alabama,41393
2018,Female,18-24,Less than 9th grade,Alabama,2904
2018,Female,18-24,"9th to 12th grade, no diploma",Alabama,23854
2018,Female,18-24,High school graduate (includes equivalency),Alabama,69199
2018,Female,18-24,"Some college, no degree",Alabama,98074
2018,Female,18-24,Associate's degree,Alabama,11776
2018,Female,18-24,Bachelor's degree,Alabama,20342
2018,Female,18-24,Graduate or professional degree,Alabama,1281
2018,Female,25-34,Less than 9th grade,Alabama,8842
2018,Female,25-34,"9th to 12th grade, no diploma",Alabama,21638
2018,Female,25-34,High school graduate (includes equivalency),Alabama,72426
2018,Female,25-34,"Some college, no degree",Alabama,83934
2018,Female,25-34,Associate's degree,Alabama,39573
2018,Female,25-34,Bachelor's degree,Alabama,70802
2018,Female,25-34,Graduate or professional degree,Alabama,27496
2018,Female,35-44,Less than 9th grade,Alabama,9744
2018,Female,35-44,"9th to 12th grade, no diploma",Alabama,21151
2018,Female,35-44,High school graduate (includes equivalency),Alabama,75754
2018,Female,35-44,"Some college, no degree",Alabama,65823
2018,Female,35-44,Associate's degree,Alabama,35170
2018,Female,35-44,Bachelor's degree,Alabama,60745
2018,Female,35-44,Graduate or professional degree,Alabama,38639
2018,Female,45-64,Less than 9th grade,Alabama,17592
2018,Female,45-64,"9th to 12th grade, no diploma",Alabama,54909
2018,Female,45-64,High school graduate (includes equivalency),Alabama,191569
2018,Female,45-64,"Some college, no degree",Alabama,152149
2018,Female,45-64,Associate's degree,Alabama,76108
2018,Female,45-64,Bachelor's degree,Alabama,103696
2018,Female,45-64,Graduate or professional degree,Alabama,69647
2018,Female,65 and older,Less than 9th grade,Alabama,32124
2018,Female,65 and older,"9th to 12th grade, no diploma",Alabama,51183
2018,Female,65 and older,High school graduate (includes equivalency),Alabama,175611
2018,Female,65 and older,"Some college, no degree",Alabama,92559
2018,Female,65 and older,Associate's degree,Alabama,26900
2018,Female,65 and older,Bachelor's degree,Alabama,50522
2018,Female,65 and older,Graduate or professional degree,Alabama,39794
2019,Male,18-24,Less than 9th grade,Alabama,2962
2019,Male,18-24,"9th to 12th grade, no diploma",Alabama,30404
2019,Male,18-24,High school graduate (includes equivalency),Alabama,85196
2019,Male,18-24,"Some college, no degree",Alabama,84607
2019,Male,18-24,Associate's degree,Alabama,11400
2019,Male,18-24,Bachelor's degree,Alabama,11150
2019,Male,18-24,Graduate or professional degree,Alabama,929
2019,Male,25-34,Less than 9th grade,Alabama,10176
2019,Male,25-34,"9th to 12th grade, no diploma",Alabama,30636
2019,Male,25-34,High school graduate (includes equivalency),Alabama,104181
2019,Male,25-34,"Some college, no degree",Alabama,69521
2019,Male,25-34,Associate's degree,Alabama,26817
2019,Male,25-34,Bachelor's degree,Alabama,52387
2019,Male,25-34,Graduate or professional degree,Alabama,22921
2019,Male,35-44,Less than 9th grade,Alabama,11705
2019,Male,35-44,"9th to 12th grade, no diploma",Alabama,28345
2019,Male,35-44,High school graduate (includes equivalency),Alabama,90862
2019,Male,35-44,"Some college, no degree",Alabama,58743
2019,Male,35-44,Associate's degree,Alabama,27036
2019,Male,35-44,Bachelor's degree,Alabama,50465
2019,Male,35-44,Graduate or professional degree,Alabama,26466
2019,Male,45-64,Less than 9th grade,Alabama,23666
2019,Male,45-64,"9th to 12th grade, no diploma",Alabama,60153
2019,Male,45-64,High school graduate (includes equivalency),Alabama,202614
2019,Male,45-64,"Some college, no degree",Alabama,117669
2019,Male,45-64,Associate's degree,Alabama,48917
2019,Male,45-64,Bachelor's degree,Alabama,93613
2019,Male,45-64,Graduate or professional degree,Alabama,56270
2019,Male,65 and older,Less than 9th grade,Alabama,25668
2019,Male,65 and older,"9th to 12th grade, no diploma",Alabama,33566
2019,Male,65 and older,High school graduate (includes equivalency),Alabama,114524
2019,Male,65 and older,"Some college, no degree",Alabama,73604
2019,Male,65 and older,Associate's degree,Alabama,22185
2019,Male,65 and older,Bachelor's degree,Alabama,58852
2019,Male,65 and older,Graduate or professional degree,Alabama,44644
2019,Female,18-24,Less than 9th grade,Alabama,1935
2019,Female,18-24,"9th to 12th grade, no diploma",Alabama,21153
2019,Female,18-24,High school graduate (includes equivalency),Alabama,73565
2019,Female,18-24,"Some college, no degree",Alabama,99811
2019,Female,18-24,Associate's degree,Alabama,11501
2019,Female,18-24,Bachelor's degree,Alabama,21261
2019,Female,18-24,Graduate or professional degree,Alabama,1656
2019,Female,25-34,Less than 9th grade,Alabama,6577
2019,Female,25-34,"9th to 12th grade, no diploma",Alabama,20735
2019,Female,25-34,High school graduate (includes equivalency),Alabama,81899
2019,Female,25-34,"Some college, no degree",Alabama,78692
2019,Female,25-34,Associate's degree,Alabama,33174
2019,Female,25-34,Bachelor's degree,Alabama,67557
2019,Female,25-34,Graduate or professional degree,Alabama,32130
2019,Female,35-44,Less than 9th grade,Alabama,11289
2019,Female,35-44,"9th to 12th grade, no diploma",Alabama,22291
2019,Female,35-44,High school graduate (includes equivalency),Alabama,71718
2019,Female,35-44,"Some college, no degree",Alabama,64749
2019,Female,35-44,Associate's degree,Alabama,39455
2019,Female,35-44,Bachelor's degree,Alabama,61913
2019,Female,35-44,Graduate or professional degree,Alabama,40702
2019,Female,45-64,Less than 9th grade,Alabama,16581
2019,Female,45-64,"9th to 12th grade, no diploma",Alabama,52136
2019,Female,45-64,High school graduate (includes equivalency),Alabama,195679
