Year,State,Male_High_school_graduate_(includes_equivalency),Male_Bachelor_degree,Male_Graduate_or_professional_degree,Male_18-24_Less_than_9th_grade,"Male_18-24_9th_to_12th_grade,_no_diploma",Male_18-24_High_school_graduate_(includes_equivalency),"Male_18-24_Some_college,_no_degree",Male_18-24_Associate_degree,Male_18-24_Bachelor_degree,Male_18-24_Graduate_or_professional_degree,Male_25-34_Less_than_9th_grade,"Male_25-34_9th_to_12th_grade,_no_diploma",Male_25-34_High_school_graduate_(includes_equivalency),"Male_25-34_Some_college,_no_degree",Male_25-34_Associate_degree,Male_25-34_Bachelor_degree,Male_25-34_Graduate_or_professional_degree,Male_35-44_Less_than_9th_grade,"Male_35-44_9th_to_12th_grade,_no_diploma",Male_35-44_High_school_graduate_(includes_equivalency),"Male_35-44_Some_college,_no_degree",Male_35-44_Associate_degree,Male_35-44_Bachelor_degree,Male_35-44_Graduate_or_professional_degree,Male_45-64_Less_than_9th_grade,"Male_45-64_9th_to_12th_grade,_no_diploma",Male_45-64_High_school_graduate_(includes_equivalency),"Male_45-64_Some_college,_no_degree",Male_45-64_Associate_degree,Male_45-64_Bachelor_degree,Male_45-64_Graduate_or_professional_degree,Male_65_and_older_Less_than_9th_grade,"Male_65_and_older_9th_to_12th_grade,_no_diploma",Male_65_and_older_High_school_graduate_(includes_equivalency),"Male_65_and_older_Some_college,_no_degree",Male_65_and_older_Associate_degree,Male_65_and_older_Bachelor_degree,Male_65_and_older_Graduate_or_professional_degree,Female_High_school_graduate_(includes_equivalency),Female_Bachelor_degree,Female_Graduate_or_professional_degree,Female_18-24_Less_than_9th_grade,"Female_18-24_9th_to_12th_grade,_no_diploma",Female_18-24_High_school_graduate_(includes_equivalency),"Female_18-24_Some_college,_no_degree",Female_18-24_Associate_degree,Female_18-24_Bachelor_degree,Female_18-24_Graduate_or_professional_degree,Female_25-34_Less_than_9th_grade,"Female_25-34_9th_to_12th_grade,_no_diploma",Female_25-34_High_school_graduate_(includes_equivalency),"Female_25-34_Some_college,_no_degree",Female_25-34_Associate_degree,Female_25-34_Bachelor_degree,Female_25-34_Graduate_or_professional_degree,Female_35-44_Less_than_9th_grade,"Female_35-44_9th_to_12th_grade,_no_diploma",Female_35-44_High_school_graduate_(includes_equivalency),"Female_35-44_Some_college,_no_degree",Female_35-44_Associate_degree,Female_35-44_Bachelor_degree,Female_35-44_Graduate_or_professional_degree,Female_45-64_Less_than_9th_grade,"Female_45-64_9th_to_12th_grade,_no_diploma",Female_45-64_High_school_graduate_(includes_equivalency),"Female_45-64_Some_college,_no_degree",Female_45-64_Associate_degree,Female_45-64_Bachelor_degree,Female_45-64_Graduate_or_professional_degree,Female_65_and_older_Less_than_9th_grade,"Female_65_and_older_9th_to_12th_grade,_no_diploma",Female_65_and_older_High_school_graduate_(includes_equivalency),"Female_65_and_older_Some_college,_no_degree",Female_65_and_older_Associate_degree,Female_65_and_older_Bachelor_degree,Female_65_and_older_Graduate_or_professional_degree,Household_mean_income_(dollars),Families_mean_income_(dollars),Married-couple-families_mean_income_(dollars),Nonfamily_households_mean_income_(dollars),Total_Male,Total_Female,Male_High_school_graduate_(includes_equivalency)_Normalized,Male_Bachelor_degree_Normalized,Male_Graduate_or_professional_degree_Normalized,Female_High_school_graduate_(includes_equivalency)_Normalized,Female_Bachelor_degree_Normalized,Female_Graduate_or_professional_degree_Normalized,Male_High_school_graduate_(includes_equivalency)_Normalized_Average,Male_Bachelor_degree_Normalized_Average,Male_Graduate_or_professional_degree_Normalized_Average,Female_High_school_graduate_(includes_equivalency)_Normalized_Average,Female_Bachelor_degree_Normalized_Average,Female_Graduate_or_professional_degree_Normalized_Average
2018,Alabama,603703,264142,141603,3553,30855,92087,78026,14302,13821,1228,7292,32551,96800,75533,24710,55362,19017,9068,31792,94557,55398,23176,48020,24443,21451,67828,207005,125388,44185,91296,55522,25479,35535,113254,71203,18463,55643,41393,584559,306107,176857,2904,23854,69199,98074,11776,20342,1281,8842,21638,72426,83934,39573,70802,27496,9744,21151,75754,65823,35170,60745,38639,17592,54909,191569,152149,76108,103696,69647,32124,51183,175611,92559,26900,50522,39794,69091,82884,98221,40905,1805236,1993530,33.4,14.6,7.8,29.3,15.4,8.9,33.22,15.28,8.74,29.6,16.24,9.96
2018,Alaska,95887,43681,27730,358,4159,18021,12595,992,1873,144,765,3091,22036,17025,5585,10745,3324,979,2022,15126,14077,3231,7590,6211,1759,4294,30132,24499,8120,15075,11621,3074,1692,10572,11853,2298,8398,6430,72761,49591,29286,95,3251,13334,10615,1345,1764,79,725,2335,15625,14775,4002,13418,4237,393,1395,10909,13720,4127,9922,7318,2169,3018,21610,22781,9293,16974,11300,2159,2574,11283,10520,3282,7513,6352,96080,109619,122489,63577,289766,264212,33.1,15.1,9.6,27.5,18.8,11.1,33.92,15.4,9.16,27.5,20.22,11.7
2018,Arizona,708440,463148,269575,7116,53104,125103,130173,14414,25230,1364,14223,45635,144812,124501,44656,98578,35241,22746,40516,109089,106447,42542,78507,47131,53192,59960,204640,201465,71532,150399,94622,36215,30930,124796,142758,43050,110434,91217,681579,490764,273966,4308,41239,105619,128160,21147,30650,1716,9827,32520,100324,131567,46037,110953,40454,21045,34879,89769,99720,44514,87679,58034,55528,58854,196559,225253,83282,164533,99436,43769,46095,189308,176447,52809,96949,74326,80477,92154,105812,53887,2726338,2803309,26,17,9.9,24.3,17.5,9.8,26.2,17.98,10.54,24.02,18.72,11
2018,Arkansas,414645,141664,83126,2060,16870,61540,53055,7056,7771,436,3251,13568,73828,47442,13655,30408,13267,8713,12973,64251,42065,13096,26618,14320,18980,35474,140397,74414,21108,45452,30793,16615,22674,74629,46115,10364,31415,24310,379592,175928,92813,2028,13488,45830,54943,8800,13399,650,4773,10572,51149,51704,20971,39927,18422,5904,11387,46009,43950,23798,33619,20350,15961,28764,124554,89777,38053,59049,31497,18318,31059,112050,55201,13098,29934,21894,66766,79300,93381,38852,1118983,1190882,37.1,12.7,7.4,31.9,14.8,7.8,37.32,13.74,7.44,32.24,15.76,8.62
2018,California,3483509,2896574,1737855,25665,202335,643676,788192,88991,170542,13146,125033,238416,775672,725900,223851,728289,297096,219635,233389,574176,528909,181794,558238,360282,506042,401648,1047119,980133,356277,935787,622437,284464,151719,442866,496955,196901,503718,444894,3222111,3210158,1759023,19826,142694,502582,803907,105461,231338,17508,91737,154860,554717,673770,259868,829183,356006,204285,192351,471434,490239,214284,614002,421439,520826,369661,986266,1043107,456875,1005923,617351,444204,216747,707112,650633,250693,529712,346719,107384,119820,139165,73834,15074187,15497320,23.1,19.2,11.5,20.8,20.7,11.4,23.48,19.96,12.16,20.8,21.64,12.46
2018,Colorado,523011,520200,301981,4515,34602,97703,97377,9004,27904,3499,9684,27778,109018,103258,38255,135648,41355,16677,23466,86362,80395,33716,98321,64369,24186,33877,159186,145178,58212,171825,110732,12912,15010,70742,76199,25937,86502,82026,459636,562865,316279,2453,25474,72329,96093,13213,41172,3201,7088,18138,69493,87883,38594,144123,59341,12416,18870,57320,68746,34913,111004,74813,25063,29768,145416,152598,67325,181673,116349,19637,22546,115078,101495,32303,84893,62575,96218,114334,128474,61339,2215430,2213396,23.6,23.5,13.6,20.8,25.4,14.3,23.32,24.9,14.24,20.4,26.72,15.66
2018,Connecticut,394470,278419,205025,2574,19528,56273,66635,6800,22079,2141,6201,12900,64579,42057,15939,60500,26972,8584,10225,55363,35419,13087,47826,38224,16155,30460,142576,80785,35265,98529,81590,16494,15986,75679,38555,15575,49485,56098,377337,315798,243786,1286,10828,45567,72083,6831,28110,3468,4496,6991,43148,40493,16480,63748,43387,7378,7446,40573,34946,18275,56614,50613,15606,22174,129341,86984,55476,119003,93841,22805,22353,118708,54735,25874,48323,52477,111303,135132,159884,63647,1367138,1470461,28.9,20.4,15,25.7,21.5,16.6,28.6,21.28,15.52,24.84,22.38,17.72
2018,Delaware,127412,63924,36956,940,5092,16028,14557,2331,3644,0,2705,5329,21724,13519,4504,11120,4896,2508,4190,20215,9325,3385,9488,5721,3375,7553,44371,21982,8655,23454,13591,3234,6079,25074,13840,3786,16218,12748,127715,67243,52322,560,4530,13302,17780,1748,3345,464,1848,3503,16319,11556,4695,15211,10470,3678,3444,16612,10201,4222,9625,9779,4663,4684,45567,23278,13656,25929,18394,4212,8076,35915,16481,8745,13133,13215,84896,99558,114761,53569,365181,398840,34.9,17.5,10.1,32,16.9,13.1,31.8,18.36,12.4,29.1,19.4,13.7
2018,District_of_Columbia,49741,69693,82312,136,3376,11535,11279,470,6886,566,1051,2797,9042,6647,899,32215,23853,1120,1652,7136,7187,997,12303,21568,2971,3906,15409,9862,2446,12656,23957,2919,2269,6619,4751,671,5633,12368,57045,76914,91651,497,2152,12351,14509,360,9939,1009,842,1826,8700,8301,2592,33032,31670,1361,1210,7892,5890,1667,11334,24218,3302,4196,15651,11564,3006,14964,21658,2968,5238,12451,7328,1670,7645,13096,79968,93126,107937,52392,269152,306089,18.5,25.9,30.6,18.6,25.1,29.9,16,26.54,32.86,15.9,25.22,32.24
2018,Florida,2449836,1439699,845795,18577,142873,312151,292459,76499,64022,5007,51088,102978,433196,292665,145156,270633,99984,61540,102836,385146,233989,120401,246006,133177,114573,204142,814126,524360,250046,494054,289745,122485,135247,505217,384434,135306,364984,317882,2507119,1636087,894309,10797,96619,256850,300568,93272,91305,8326,33343,70617,317093,285613,167049,338264,150836,42642,74873,297038,248366,155925,302326,182439,109050,172429,822091,591930,338765,559268,313543,174151,189738,814047,454342,176862,344924,239165,82489,96467,115845,51127,8246984,8824466,29.7,17.5,10.3,28.4,18.5,10.1,29.44,18.74,11.04,27.3,19.92,11.22
