"Year","Category","State","Value"
"2018","Total_Households","Alabama",1855184
"2018","Percent_Households_Less_10000","Alabama",9.1
"2018","Total_Households_Less_10000","Alabama",168821.744
"2018","Percent_Households_10000_14999","Alabama",6
"2018","Total_Households_10000_14999","Alabama",111311.04
"2018","Percent_Households_15000_24999","Alabama",11.9
"2018","Total_Households_15000_24999","Alabama",220766.896
"2018","Percent_Households_25000_34999","Alabama",10.1
"2018","Total_Households_25000_34999","Alabama",187373.584
"2018","Percent_Households_35000_49999","Alabama",13
"2018","Total_Households_35000_49999","Alabama",241173.92
"2018","Percent_Households_50000_74999","Alabama",17.4
"2018","Total_Households_50000_74999","Alabama",322802.016
"2018","Percent_Households_75000_99999","Alabama",12
"2018","Total_Households_75000_99999","Alabama",222622.08
"2018","Percent_Households_100000_149999","Alabama",12.1
"2018","Total_Households_100000_149999","Alabama",224477.264
"2018","Percent_Households_150000_199999","Alabama",4.4
"2018","Total_Households_150000_199999","Alabama",81628.096
"2018","Percent_Households_200000_or_more","Alabama",4
"2018","Total_Households_200000_or_more","Alabama",74207.36
"2018","Households_median_income_(dollars)","Alabama",49861
"2018","Household_mean_income_(dollars)","Alabama",69091
"2018","Total_Families","Alabama",1214794
"2018","Percent_Families_Less_10000","Alabama",5.1
"2018","Total_Families_Less_10000","Alabama",61954.494
"2018","Percent_Families_10000_14999","Alabama",2.9
"2018","Total_Families_10000_14999","Alabama",35229.026
"2018","Percent_Families_15000_24999","Alabama",8.9
"2018","Total_Families_15000_24999","Alabama",108116.666
"2018","Percent_Families_25000_34999","Alabama",8.9
"2018","Total_Families_25000_34999","Alabama",108116.666
"2018","Percent_Families_35000_49999","Alabama",13
"2018","Total_Families_35000_49999","Alabama",157923.22
"2018","Percent_Families_50000_74999","Alabama",18.9
"2018","Total_Families_50000_74999","Alabama",229596.066
"2018","Percent_Families_75000_99999","Alabama",14.9
"2018","Total_Families_75000_99999","Alabama",181004.306
"2018","Percent_Families_100000_149999","Alabama",15.9
"2018","Total_Families_100000_149999","Alabama",193152.246
"2018","Percent_Families_150000_199999","Alabama",6.1
"2018","Total_Families_150000_199999","Alabama",74102.434
"2018","Percent_Families_200000_or_more","Alabama",5.4
"2018","Total_Families_200000_or_more","Alabama",65598.876
"2018","Families_median_income_(dollars)","Alabama",63837
"2018","Families_mean_income_(dollars)","Alabama",82884
"2018","Total_Married-couple-families","Alabama",879227
"2018","Percent_Married-couple-families_Less_10000","Alabama",1.6
"2018","Total_Married-couple-families_Less_10000","Alabama",14067.632
"2018","Percent_Married-couple-families_10000_14999","Alabama",1.4
"2018","Total_Married-couple-families_10000_14999","Alabama",12309.178
"2018","Percent_Married-couple-families_15000_24999","Alabama",5
"2018","Total_Married-couple-families_15000_24999","Alabama",43961.35
"2018","Percent_Married-couple-families_25000_34999","Alabama",7.1
"2018","Total_Married-couple-families_25000_34999","Alabama",62425.117
"2018","Percent_Married-couple-families_35000_49999","Alabama",11.7
"2018","Total_Married-couple-families_35000_49999","Alabama",102869.559
"2018","Percent_Married-couple-families_50000_74999","Alabama",20.2
"2018","Total_Married-couple-families_50000_74999","Alabama",177603.854
"2018","Percent_Married-couple-families_75000_99999","Alabama",17.6
"2018","Total_Married-couple-families_75000_99999","Alabama",154743.952
"2018","Percent_Married-couple-families_100000_149999","Alabama",20.2
"2018","Total_Married-couple-families_100000_149999","Alabama",177603.854
"2018","Percent_Married-couple-families_150000_199999","Alabama",7.2
"2018","Total_Married-couple-families_150000_199999","Alabama",63304.344
"2018","Percent_Married-couple-families_200000_or_more","Alabama",8
