Year,Sex,Age_Group,Education_Level,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
2021,Male,18-24,Less than 9th grade,3265,1121,6688,2340,32945,4506,2265,570,1209,22244,11745,540,1634,9099,8834,3359,3349,3440,4403,350,5586,4615,6470,3302,1829,5136,1336,1547,1451,531,4742,1799,14424,9318,497,11354,4670,2397,10339,1467,3883,894,5354,35325,1907,144,4919,6540,1869,5380,82,2627
2021,Male,18-24,"9th to 12th grade, no diploma",32020,5050,52749,18812,170551,32925,16699,5838,1868,115305,74896,3408,11983,59648,43386,16785,17367,21413,32460,5448,31697,34703,58711,30227,20854,32139,5568,11323,20141,6892,36632,20581,83957,54543,4618,62158,28453,24749,64256,5645,34463,5335,30755,195091,23888,2974,35438,43551,8474,28032,3350,11438
2021,Male,18-24,High school graduate (includes equivalency),92663,19837,140290,63617,680498,102938,60009,15284,7165,326869,215362,31202,40517,204962,133630,55720,54422,94560,92724,24353,94319,113347,179739,90179,54175,110972,22635,30540,60135,25293,133858,38383,289722,197945,14168,213214,87075,71116,226879,20296,95891,15407,134038,574776,75313,11626,168106,130543,36445,109504,11566,48471
2021,Male,18-24,"Some college, no degree",77132,11230,104824,46865,669383,90082,62185,14901,12863,255518,163094,19623,25033,193560,108112,63284,49708,64553,69285,17817,85521,118917,154201,86832,45752,89903,17116,35562,34531,19001,132059,26920,301951,171898,18645,176023,61316,58793,181741,20444,79237,13333,96308,463989,73134,13804,147501,97745,23957,89098,7910,75735
2021,Male,18-24,Associate's degree,9740,1374,16399,4561,87607,10114,5109,1829,503,76564,16833,3328,4822,31875,10934,11577,10898,12543,4394,2521,12798,8632,23804,16940,13606,18987,1870,6233,5601,3058,21938,3778,50184,28738,2935,19083,7807,10634,20651,1636,10082,3831,16957,69598,11816,1420,16492,27180,3601,14673,1360,9372
2021,Male,18-24,Bachelor's degree,15976,766,25652,10911,169812,29388,25351,3592,5389,77359,45676,5514,4892,76279,27414,14497,14961,16095,11974,3504,35000,53755,45777,26319,10163,28532,4078,11852,7430,7521,60920,7477,122413,48794,4806,52281,10839,15057,60599,7619,21057,3687,27048,114161,8205,4147,42428,35326,6746,29319,1999,11797
2021,Male,18-24,Graduate or professional degree,1526,50,3644,994,11743,2374,3523,94,385,6263,3184,193,170,6236,2586,828,949,2314,1164,270,3296,5257,2031,1047,341,1437,0,229,841,693,4155,657,14417,3359,55,2834,927,633,4621,807,1238,105,2944,10920,581,105,4001,3051,179,1889,356,176
2021,Male,25-34,Less than 9th grade,10084,1486,13707,5733,109164,11800,7536,1324,987,45497,21144,1846,3534,18061,15996,4455,4990,8864,11786,382,12499,10312,15049,6672,7637,6693,1029,3829,9086,726,14077,4614,42793,19109,645,20839,9131,6989,19962,2746,8615,1154,9097,97230,2730,290,13091,15434,1210,8528,1096,5279
2021,Male,25-34,"9th to 12th grade, no diploma",24268,2872,39361,12008,193625,20978,7145,4287,1638,90546,52601,4018,7875,42617,26231,6756,12922,18166,27703,2888,21984,16929,39351,12938,14725,21094,4596,6752,18716,2585,18337,10960,72911,41024,2308,40120,21870,16811,43688,3252,23653,4306,24836,154636,9800,1533,22340,28373,10553,16228,3436,11857
2021,Male,25-34,High school graduate (includes equivalency),107510,21491,144855,73328,750136,111652,64261,18135,7637,441271,209817,30991,44061,221284,149503,55396,46261,103622,110560,25347,107348,110186,196379,87911,56386,120232,20909,28488,74068,25753,147779,44290,305101,186241,15907,249191,91696,79855,270560,18831,99648,16424,154149,606871,59695,11548,157522,153390,38634,107880,11008,61460
2021,Male,25-34,"Some college, no degree",69746,14706,125700,41697,657584,92755,40735,13580,6059,277741,146906,26556,29104,166810,92221,43194,47793,61091,57067,17483,74997,65358,155322,73751,40380,85746,16885,27986,54964,18651,98537,34932,229246,142119,13958,158697,58201,75098,136088,13422,65365,10724,103747,469857,63772,5942,123814,122269,20127,82326,8124,35254
2021,Male,25-34,Associate's degree,21237,5781,41245,13146,208997,33785,14124,5380,1850,139204,54815,11112,9241,68794,35614,25644,19313,24761,19893,8384,28544,25846,54301,43982,19004,29572,5631,14712,17376,6171,44405,14769,121004,62003,6977,54367,18412,23950,69272,5246,29406,8555,30361,152759,24805,2760,41381,50487,7161,39482,5037,31519
2021,Male,25-34,Bachelor's degree,54680,9690,115490,31392,777988,152621,63405,14038,25263,289083,174650,20137,25586,241588,95879,47213,45698,55209,53376,22869,106250,172009,152576,120809,26962,95236,17911,34050,41697,28940,195399,21227,432093,172856,14728,184619,50713,75083,237922,20172,71728,12921,103756,487816,65319,13714,162796,163368,16317,95966,6152,49443
2021,Male,25-34,Graduate or professional degree,24276,3299,36155,14670,298348,48101,31407,6880,24700,106612,60926,7681,5625,97969,29155,14324,16765,23594,20455,5216,53763,89469,58529,33581,8146,38458,5321,12442,13738,9986,80723,12870,191741,58026,4960,66490,18587,23394,85470,9823,24617,3240,36607,181116,22112,2798,68829,71008,7196,28610,2639,9699
2021,Male,35-44,Less than 9th grade,11477,887,23761,10213,214363,17133,11647,2609,1474,66695,35956,1326,3224,41320,21731,6407,9069,9018,12677,1336,20976,15826,16805,10612,10075,11403,1147,6398,13569,1412,30278,6140,70602,35645,711,22855,12804,13983,23054,2690,10505,1456,15293,161030,6947,303,21432,21708,2260,11379,794,14153
2021,Male,35-44,"9th to 12th grade, no diploma",33477,2530,36336,14278,221804,27948,12311,3954,882,91978,54146,4489,9311,51409,25425,10370,11797,22963,32162,3322,23210,21008,36944,15993,20514,25731,3275,5695,17509,3532,27194,13841,87423,49438,1879,40241,23118,16656,42598,4895,27173,2091,30464,169008,11547,2276,32629,25929,8997,15983,1876,16114
2021,Male,35-44,High school graduate (includes equivalency),94219,17862,109879,66596,617512,93233,55033,16138,4857,381287,189701,24382,35655,194561,134346,57775,45652,96027,105431,22163,97562,102996,170175,85954,58926,121571,18910,30445,61782,23038,139636,39673,286077,158080,14669,225226,85021,65324,234144,19225,92989,15103,145221,511072,52628,8926,137559,123289,44158,108778,11600,54276
2021,Male,35-44,"Some college, no degree",62164,12387,103969,38062,509513,85803,35205,10217,6252,242099,128570,20535,31638,158148,83615,43380,39373,52643,57365,15110,63060,61856,131937,72333,39390,78066,15562,25866,47620,15897,91117,32812,188970,122886,9998,140042,52991,68839,120334,14398,54309,10323,88255,399992,49681,7361,98546,110502,22179,76087,10897,25540
2021,Male,35-44,Associate's degree,27575,5601,47491,13841,191906,31603,13377,6804,1698,134233,59652,13064,13161,68320,41605,26821,17167,25428,20633,10171,26664,27460,52130,51263,18843,35912,6503,18194,20692,7220,37910,13303,102265,61082,9891,64370,21185,28093,75689,4704,30484,8337,31724,156422,19389,3738,43310,56263,8027,46497,4376,27587
2021,Male,35-44,Bachelor's degree,51342,8436,92279,30708,608612,115401,55825,12017,13918,288187,138634,21385,21113,201123,86940,44880,44643,50755,49060,19789,94789,116199,122707,106153,22098,79668,18377,31325,41591,21353,169451,19988,316655,145488,13989,149092,44944,68657,189759,13997,64046,13663,86909,446243,60957,10823,137506,134638,16897,85633,8124,35493
2021,Male,35-44,Graduate or professional degree,34397,4876,54775,17831,409421,70580,40618,9020,25229,164399,95276,11295,13544,134500,48953,19390,27153,31202,30085,11104,82111,101223,76949,51279,17232,48472,8698,15211,19056,12017,118678,16364,223530,88724,3049,90606,25933,41294,126283,9167,38554,6794,49942,255987,38816,5104,115938,90955,11315,36447,3581,11849
